AEM1;AEM2;AEM3;AEM4;AEM5;AEM6;ASM1;ASM2;ASM3;ASM4;ASM5;ASM6;AIC1;AIC2;AIC3;AIC4;AIC5;ADR1;ADR2;ADR3;ADR4;AEV1;AEV2;AEV3;AEV4;ADC1;ADC2;ADC3;PAS7;PAS18;PAS13;PAS20;PAS1;PAS12;PAS8;PAS15;PAS6;PAS14;PAS5;PAS16;PAS17;PAS9;PAS3 ;PAS2;PAS11;AAC1;AAC2;AAC3;ATP1;ATP2;ATP3;AVR1;AVR2;AVR3;AVR4;AVR5;TRU1;TRU2;TRU3;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;CRT7;CRT8;CRT9;CRT10;CRT11;CRT12;CRT13;JSA1;JSA2;JSA3;JSA4;JSA5;MHL1;MHL2;MHL3;MHL4;MHL5;ATI1;ATI2 ;ATI3;ATI4;ATI5;ATI6;ATI7 ;ADC;ADR;AEM;AEV;AIC;ASM;ACL;ANR;AAC_ustd;ALD_ustd;ATP_ustd;AVR_ustd;CRT_ustd;PAS_ustd;TRU_ustd
5;4;4;4;4;3;4;4;4;4;5;5;4;4;4;4;4;4;4;5;4;4;5;3;5;5;4;4;3;4;4;4;3;3;3;4;4;4;5;3;6;5;3;3;7;4;5;5;3;3;2;3;3;3;2;4;4;4;5;5;5;5;5;4;5;5;5;5;4;5;4;4;5;4;4;4;4;5;5;4;3;4;4;3;5;3;5;5;3;0,064;-0,233;-0,278;-0,246;-0,082;-0,128;-0,157;-0,189;4,678;4,101465614;2,631;2,989;4,683;3,832;4,315
3;4;3;4;4;3;3;3;3;2;2;3;7;3;3;3;2;4;4;3;2;3;4;1;3;2;2;2;1;2;1;1;1;1;1;1;2;2;2;2;5;4;3;1;3;4;4;4;2;1;2;2;3;3;2;3;2;2;2;4;3;4;4;4;3;4;4;4;3;4;4;4;3;2;7;3;4;5;5;4;3;5;3;2;3;2;5;5;2;-1,677;-1,093;-0,278;-1,481;-0,434;-1,581;-1,622;-0,977;4;2,804960541;1,691;2,591;3,771;1,583;2
7;7;6;7;7;6;6;6;7;7;6;7;7;6;6;7;6;7;7;7;7;7;7;2;7;6;6;6;4;3;2;4;3;5;2;4;6;4;6;3;7;7;6;4;6;6;6;7;7;6;7;2;2;2;3;2;6;6;5;4;5;6;6;4;6;6;5;6;6;6;7;6;5;2;4;5;6;7;7;7;6;6;7;6;6;7;7;7;6;1,293;2,034;2,261;1,048;1,836;1,696;1,653;2,299;6,301;6,497181511;6,691;2,208;5,61;4,178;5,685
6;6;5;6;4;5;4;5;5;5;5;5;4;4;4;4;3;5;6;5;6;5;5;5;6;5;4;3;5;6;6;4;5;5;4;5;5;5;6;5;6;6;4;5;6;4;6;6;3;3;5;5;5;5;3;5;5;5;5;6;6;6;6;5;5;5;5;5;5;5;5;5;6;5;5;5;6;6;7;6;6;6;6;5;5;4;6;6;5;-0,179;0,758;1,032;0,538;-0,247;0,282;0,421;0,394;5,356;4,75535513;3,739;4,583;5,31;5,084;5
5;6;6;6;3;5;5;6;5;6;4;6;6;5;6;3;6;1;6;7;6;6;5;5;6;5;5;5;2;1;5;2;2;2;1;4;2;2;1;1;7;7;2;1;4;6;5;4;2;2;5;2;2;3;2;3;6;5;5;6;5;6;6;6;7;7;7;7;6;5;5;4;6;4;5;6;6;7;7;7;7;7;6;5;5;3;5;6;5;0,55;0,419;0,841;0,73;0,913;0,691;0,649;0,974;5,021;5,19729425;3,108;2,396;5,898;2,147;5,354
2;3;5;4;5;4;2;3;3;4;6;3;2;3;4;2;4;5;5;6;2;2;6;2;3;1;1;2;6;6;5;7;3;4;3;5;6;6;4;6;7;5;7;6;5;4;6;6;1;2;4;5;3;4;2;4;3;2;7;6;5;6;5;5;2;3;2;4;2;5;2;4;4;3;4;3;4;5;6;2;2;1;2;5;1;1;6;6;3;-2,177;0,024;-0,123;-1,032;-0,854;-0,804;-1,226;-0,745;5,356;3,164599775;2,417;3,59;3,937;5,227;3,929
6;6;7;7;4;2;7;6;3;6;7;7;4;6;5;4;2;6;4;5;5;6;7;6;7;7;7;1;6;6;5;2;5;4;7;4;5;7;6;7;7;3;4;4;7;6;5;5;6;4;4;1;3;2;1;1;3;5;4;5;6;4;7;5;2;3;7;7;5;6;7;7;6;7;5;2;6;3;3;5;1;5;1;3;6;6;7;7;7;0,581;0,367;0,682;1,593;0,075;1,314;0,979;0,858;5,322;5,335963923;4,643;1,587;5,542;5,248;3,976
3;3;2;2;2;2;1;1;2;3;3;2;2;3;5;5;3;4;3;3;7;2;5;5;6;6;2;5;1;1;1;1;1;1;2;3;3;5;1;1;3;2;1;1;2;3;3;4;5;5;4;1;3;2;1;3;2;4;3;6;5;5;5;4;6;7;6;6;6;7;5;3;6;6;7;7;7;6;7;3;2;7;7;6;6;6;7;7;5;0,074;-0,331;-1,546;-0,038;-0,386;-2,091;-0,108;-1,637;3,301;3,373167982;4,631;1,983;5,452;1,704;2,976
1;7;7;6;3;6;1;6;7;7;7;7;3;4;2;1;2;3;6;7;7;3;1;5;1;7;6;1;7;1;7;5;1;4;7;6;4;7;1;6;7;1;1;1;3;3;3;2;1;1;6;5;7;4;7;7;6;1;1;1;2;7;7;7;7;7;7;7;5;4;6;7;7;2;1;1;6;1;1;1;1;4;2;7;3;3;5;1;7;0,337;1,019;1,265;-1,872;-1,376;1,159;-0,226;0,413;2,699;4,375422773;2,847;6,002;5,635;4,013;2,771
5;3;4;3;3;2;4;4;4;4;5;4;4;4;4;3;4;4;5;5;4;3;5;3;4;4;3;3;4;5;3;4;3;3;2;3;4;4;5;3;6;5;4;3;4;4;5;4;3;3;4;3;3;3;3;4;4;4;5;4;4;5;5;4;4;4;5;4;3;4;4;4;4;3;4;4;3;5;5;4;3;5;5;5;4;3;5;5;2;-0,679;-0,032;-1,124;-0,661;-0,235;-0,275;-0,529;-0,618;4,377;3,65276212;3,369;3,198;4,144;3,61;4,315
